0.00,0.45,0.90,1.35,1.80,2.20,2.60,3.00,3.35,3.70
0.30,0.75,1.20,1.65,2.10,2.50,2.90,3.30,3.65,4.00
0.60,1.05,1.50,1.95,2.40,2.80,3.20,3.60,3.95,4.30
0.90,1.35,1.80,2.25,2.70,3.10,3.50,3.90,4.25,4.60
1.20,1.65,2.10,2.55,3.00,3.40,3.80,4.20,4.55,4.90
1.50,1.95,2.40,2.85,3.30,3.70,4.10,4.50,4.85,5.20
1.85,2.30,2.75,3.20,3.65,4.05,4.45,4.85,5.20,5.55
2.20,2.65,3.10,3.55,4.00,4.40,4.80,5.20,5.55,5.90
2.55,3.00,3.45,3.90,4.35,4.75,5.15,5.55,5.90,6.25
2.90,3.35,3.80,4.25,4.70,5.10,5.50,5.90,6.25,6.60
